wo_id,description,asset_tag,asset_class,area,install_date,age_days,task_type,priority,mandatory,estimated_cost_usd,mech_hours,elec_hours,inst_hours,civil_hours,total_craft_hours,duration_days,weibull_beta,weibull_eta,c_safety,c_env,c_prod,c_cost,replace_usd,predecessor_wo_id,priority_weight,asset_master_linked,asset_name,fitted_beta,fitted_eta,failure_prob,rul_days,weibull_source,consequence_score,likelihood_tier,consequence_tier,risk_score,risk_level,deferred_cost_usd,net_value_usd,selected,decision
WO-00011,Replacement – Storage Tank TNK-0006,TNK-0006,Tnk,Unit-100,2013-04-21,4911,Replacement,Medium,False,18665.17,34.6,5.0,15.8,2.5,57.900000000000006,7,3.5,5475,4,5,3,4,390000,,2,True,Storage Tank,3.5,5475.0,0.17711767291451005,2037.2321482252628,asset_inline_fallback,4.0,3,4,12,HIGH,41445.54,22780.37,True,INCLUDE
WO-00012,Inspection – Control Valve VLV-0110,VLV-0110,Vlv,Utilities,2024-07-10,813,Inspection,Medium,False,7232.51,2.2,1.0,2.3,0.2,5.7,1,1.5,1095,3,2,3,2,13500,,2,True,Control Valve,1.5,1095.0,0.37878020295456766,1096.3751020061259,asset_inline_fallback,2.65,4,3,12,HIGH,2032.63,-5199.88,False,DEFER
WO-00013,Repair – Instrument/Analyser INST-0026,INST-0026,Inst,Unit-300,2017-03-15,3487,Repair,High,False,73391.62,35.9,8.0,15.0,6.2,65.1,8,1.8,730,2,1,3,2,4800,,3,True,Instrument/Analyser,1.8,730.0,0.9621916216530266,730.0,asset_inline_fallback,2.0,5,2,10,HIGH,1385.56,-72006.06,False,DEFER
WO-00014,Calibration – Heat Exchanger HX-0033,HX-0033,Hx,Unit-200,2021-04-25,1985,Calibration,Medium,False,1653.01,1.3,4.9,11.0,0.2,17.4,2,2.0,2190,4,3,5,4,195000,,2,True,Heat Exchanger,2.0,2190.0,0.28101060843455783,1338.1654132918188,asset_inline_fallback,4.0,3,4,12,HIGH,32878.24,31225.23,True,INCLUDE
WO-00015,Inspection – Control Valve VLV-0089,VLV-0089,Vlv,Unit-200,2016-01-12,3915,Inspection,Medium,False,6359.44,8.4,1.5,1.1,0.3,11.3,1,1.5,1095,3,2,3,2,13500,,2,True,Control Valve,1.5,1095.0,0.6198288350718671,1095.0,asset_inline_fallback,2.65,5,3,15,HIGH,3326.16,-3033.28,False,DEFER
WO-00016,Cleaning – Electrical Equipment ELEC-0008,ELEC-0008,Elec,Flare-System,2018-07-30,2985,Cleaning,Critical,False,23061.33,13.0,1.8,0.3,5.0,20.1,3,2.0,1460,3,1,3,3,24000,,4,True,Electrical Equipment,2.0,1460.0,0.6620172005423617,1460.0,asset_inline_fallback,2.5,5,2,10,HIGH,5958.15,-17103.18,False,DEFER
WO-00017,Calibration – Instrument/Analyser INST-0106,INST-0106,Inst,Offsites,2016-11-19,3603,Calibration,Critical,False,621.83,0.5,8.2,12.6,0.0,21.299999999999997,3,1.8,730,2,1,3,2,4800,,4,True,Instrument/Analyser,1.8,730.0,0.9651885279547955,730.0,asset_inline_fallback,2.0,5,2,10,HIGH,1389.87,768.04,True,INCLUDE
WO-00018,Overhaul – Reciprocating Compressor CMP-0017,CMP-0017,Cmp,Offsites,2013-07-07,4834,Overhaul,Critical,False,193398.98,76.1,33.8,17.6,15.8,143.3,18,3.0,1460,5,4,5,5,490000,,4,True,Reciprocating Compressor,3.0,1460.0,1.0,1460.0,asset_inline_fallback,4.75,5,5,25,CRITICAL,349125.0,155726.02,True,INCLUDE
WO-00019,Inspection – Instrument/Analyser INST-0048,INST-0048,Inst,Flare-System,2024-09-28,733,Inspection,Low,False,1621.98,3.9,0.1,2.2,0.9,7.1000000000000005,1,1.8,730,2,1,3,2,4800,,1,True,Instrument/Analyser,1.8,730.0,0.6595803654110955,427.25583614715265,asset_inline_fallback,2.0,5,2,10,HIGH,949.8,-672.18,False,DEFER
WO-00020,Replacement – Electrical Equipment ELEC-0033,ELEC-0033,Elec,Flare-System,2025-01-26,613,Replacement,High,False,71220.87,37.5,16.9,8.7,3.7,66.8,8,2.0,1460,3,1,3,3,24000,WO-00015,3,True,Electrical Equipment,2.0,1460.0,0.2384744133242723,1602.4434700972424,asset_inline_fallback,2.5,3,2,6,MEDIUM,2146.27,-69074.6,False,DEFER
WO-00021,Inspection – Centrifugal Pump PMP-0078,PMP-0078,Pmp,Tank-Farm,2015-02-20,4241,Inspection,Critical,False,2928.69,9.0,1.8,1.4,0.5,12.700000000000001,2,2.5,1825,3,2,4,3,48000,,4,True,Centrifugal Pump,2.5,1825.0,0.8485040839650249,1825.0,asset_inline_fallback,3.0,5,3,15,HIGH,18327.69,15399.0,True,INCLUDE
WO-00022,Overhaul – Centrifugal Pump PMP-0039,PMP-0039,Pmp,Unit-100,2017-10-17,3271,Overhaul,High,False,339510.92,44.1,43.4,48.9,17.1,153.5,19,2.5,1825,3,2,4,3,48000,,3,True,Centrifugal Pump,2.5,1825.0,0.7280172085771931,1825.0,asset_inline_fallback,3.0,5,3,15,HIGH,15725.17,-323785.75,False,DEFER
WO-00023,Cleaning – Control Valve VLV-0112,VLV-0112,Vlv,Unit-200,2014-12-02,4321,Cleaning,Medium,False,9022.56,7.6,1.2,0.1,8.6,17.5,2,1.5,1095,3,2,3,2,13500,,2,True,Control Valve,1.5,1095.0,0.637209870254582,1095.0,asset_inline_fallback,2.65,5,3,15,HIGH,3419.43,-5603.13,False,DEFER
WO-00024,Overhaul – Instrument/Analyser INST-0117,INST-0117,Inst,Flare-System,2021-09-20,1837,Overhaul,Medium,False,206394.95,233.9,15.3,14.4,7.3,270.90000000000003,34,1.8,730,2,1,3,2,4800,,2,True,Instrument/Analyser,1.8,730.0,0.8687802204278058,730.0,asset_inline_fallback,2.0,5,2,10,HIGH,1251.04,-205143.91,True,INCLUDE
WO-00025,Testing – Control Valve VLV-0063,VLV-0063,Vlv,Flare-System,2024-05-13,871,Testing,Medium,False,3914.39,18.3,9.6,17.0,0.1,45.0,6,1.5,1095,3,2,3,2,13500,,2,True,Control Valve,1.5,1095.0,0.3872614083460317,1038.3750581474962,asset_inline_fallback,2.65,4,3,12,HIGH,2078.14,-1836.25,False,DEFER
WO-00026,Cleaning – Electrical Equipment ELEC-0039,ELEC-0039,Elec,Unit-200,2025-04-25,524,Cleaning,Medium,False,13871.67,9.7,1.7,1.9,5.7,19.0,2,2.0,1460,3,1,3,3,24000,,2,True,Electrical Equipment,2.0,1460.0,0.2149061818660894,1691.4436301049363,asset_inline_fallback,2.5,3,2,6,MEDIUM,1934.16,-11937.51,False,DEFER
WO-00027,Calibration – Electrical Equipment ELEC-0055,ELEC-0055,Elec,Unit-200,2019-12-17,2480,Calibration,High,False,876.17,1.7,4.2,16.4,0.1,22.4,3,2.0,1460,3,1,3,3,24000,,3,True,Electrical Equipment,2.0,1460.0,0.5982057223513967,1460.0,asset_inline_fallback,2.5,4,2,8,MEDIUM,5383.85,4507.68,True,INCLUDE
WO-00028,Cleaning – Instrument/Analyser INST-0039,INST-0039,Inst,Utilities,2016-12-29,3563,Cleaning,High,False,13598.13,24.4,2.0,0.2,4.2,30.799999999999997,4,1.8,730,2,1,3,2,4800,,3,True,Instrument/Analyser,1.8,730.0,0.964185023114095,730.0,asset_inline_fallback,2.0,5,2,10,HIGH,1388.43,-12209.7,False,DEFER
WO-00029,Overhaul – Control Valve VLV-0104,VLV-0104,Vlv,Offsites,2019-03-26,2746,Overhaul,Medium,False,303937.2,211.2,40.4,8.8,13.1,273.5,34,1.5,1095,3,2,3,2,13500,,2,True,Control Valve,1.5,1095.0,0.5584887154486471,1095.0,asset_inline_fallback,2.65,4,3,12,HIGH,2996.99,-300940.21,False,DEFER
WO-00030,Overhaul – Centrifugal Pump PMP-0026,PMP-0026,Pmp,Utilities,2022-07-30,1524,Overhaul,Critical,False,91427.47,119.5,25.3,15.9,19.1,179.8,22,2.5,1825,3,2,4,3,48000,,4,True,Centrifugal Pump,2.5,1825.0,0.36412118280446226,1023.7050309041224,asset_inline_fallback,3.0,4,3,12,HIGH,7865.02,-83562.45,False,DEFER
WO-00031,Cleaning – Electrical Equipment ELEC-0039,ELEC-0039,Elec,Unit-200,2025-04-25,524,Cleaning,Medium,False,13377.52,25.1,0.2,0.2,4.4,29.9,4,2.0,1460,3,1,3,3,24000,,2,True,Electrical Equipment,2.0,1460.0,0.2149061818660894,1691.4436301049363,asset_inline_fallback,2.5,3,2,6,MEDIUM,1934.16,-11443.36,False,DEFER
WO-00032,Replacement – Electrical Equipment ELEC-0085,ELEC-0085,Elec,Utilities,2015-02-21,4240,Replacement,Low,False,92766.51,20.8,3.5,12.3,8.0,44.6,6,2.0,1460,3,1,3,3,24000,,1,True,Electrical Equipment,2.0,1460.0,0.7800939335567418,1460.0,asset_inline_fallback,2.5,5,2,10,HIGH,7020.85,-85745.66,False,DEFER
WO-00033,Calibration – Pressure Vessel VSL-0023,VSL-0023,Vsl,Unit-100,2013-03-15,4948,Calibration,Medium,False,1762.08,1.4,7.5,7.7,0.6,17.200000000000003,2,2.8,3650,5,5,5,5,290000,,2,True,Pressure Vessel,2.8,3650.0,0.40366456758831026,3650.0,asset_inline_fallback,5.0,4,5,20,CRITICAL,87797.04,86034.96,True,INCLUDE
WO-00034,Replacement – Instrument/Analyser INST-0029,INST-0029,Inst,Unit-200,2017-07-09,3371,Replacement,Low,False,80206.91,33.0,11.1,5.8,7.0,56.9,7,1.8,730,2,1,3,2,4800,,1,True,Instrument/Analyser,1.8,730.0,0.9589151730809758,730.0,asset_inline_fallback,2.0,5,2,10,HIGH,1380.84,-78826.07,False,DEFER
WO-00035,Inspection – Instrument/Analyser INST-0177,INST-0177,Inst,Flare-System,2021-10-15,1812,Inspection,High,False,3309.18,2.4,0.1,5.0,0.5,8.0,1,1.8,730,2,1,3,2,4800,,3,True,Instrument/Analyser,1.8,730.0,0.8661094819219168,730.0,asset_inline_fallback,2.0,5,2,10,HIGH,1247.2,-2061.98,False,DEFER
WO-00036,Replacement – Instrument/Analyser INST-0141,INST-0141,Inst,Unit-100,2020-02-20,2415,Replacement,Medium,False,117701.45,21.1,15.1,9.7,1.6,47.50000000000001,6,1.8,730,2,1,3,2,4800,,2,True,Instrument/Analyser,1.8,730.0,0.9166005543130264,730.0,asset_inline_fallback,2.0,5,2,10,HIGH,1319.9,-116381.55,False,DEFER
WO-00037,Inspection – Heat Exchanger HX-0005,HX-0005,Hx,Offsites,2021-02-19,2050,Inspection,Critical,False,5600.54,4.0,1.5,4.1,0.7,10.299999999999999,1,2.0,2190,4,3,5,4,195000,,4,True,Heat Exchanger,2.0,2190.0,0.28808882594821084,1273.1654139593652,asset_inline_fallback,4.0,3,4,12,HIGH,33706.39,28105.85,True,INCLUDE
WO-00038,Calibration – Instrument/Analyser INST-0126,INST-0126,Inst,Unit-200,2024-07-25,798,Calibration,Medium,False,2972.41,0.5,4.2,17.0,0.2,21.9,3,1.8,730,2,1,3,2,4800,,2,True,Instrument/Analyser,1.8,730.0,0.6797059286772663,362.2560218689762,asset_inline_fallback,2.0,5,2,10,HIGH,978.78,-1993.63,False,DEFER
WO-00039,Calibration – Storage Tank TNK-0019,TNK-0019,Tnk,Tank-Farm,2024-04-15,899,Calibration,Critical,False,304.05,1.1,6.6,8.9,0.9,17.5,2,3.5,5475,4,5,3,4,390000,,4,True,Storage Tank,3.5,5475.0,0.004110052098953339,6049.232135819243,asset_inline_fallback,4.0,1,4,4,LOW,961.75,657.7,True,INCLUDE
WO-00040,Replacement – Instrument/Analyser INST-0175,INST-0175,Inst,Unit-200,2021-03-29,2012,Replacement,Critical,False,102596.9,17.9,16.8,5.6,5.4,45.7,6,1.8,730,2,1,3,2,4800,WO-00037,4,True,Instrument/Analyser,1.8,730.0,0.8858867141582881,730.0,asset_inline_fallback,2.0,5,2,10,HIGH,1275.68,-101321.22,False,DEFER
WO-00041,Calibration – Instrument/Analyser INST-0007,INST-0007,Inst,Unit-100,2017-02-16,3514,Calibration,Medium,False,2413.68,1.7,9.9,14.8,0.8,27.2,3,1.8,730,2,1,3,2,4800,,2,True,Instrument/Analyser,1.8,730.0,0.9629131447970489,730.0,asset_inline_fallback,2.0,5,2,10,HIGH,1386.59,-1027.09,False,DEFER
WO-00042,Repair – Instrument/Analyser INST-0033,INST-0033,Inst,Unit-200,2017-09-28,3290,Repair,High,False,52213.15,89.3,10.1,10.9,7.6,117.89999999999999,15,1.8,730,2,1,3,2,4800,,3,True,Instrument/Analyser,1.8,730.0,0.956446364186649,730.0,asset_inline_fallback,2.0,5,2,10,HIGH,1377.28,-50835.87,False,DEFER
WO-00043,Replacement – Control Valve VLV-0029,VLV-0029,Vlv,Tank-Farm,2022-07-01,1553,Replacement,Medium,False,117474.92,30.6,5.3,10.6,4.6,51.1,6,1.5,1095,3,2,3,2,13500,,2,True,Control Valve,1.5,1095.0,0.46697112519479306,356.375041611647,asset_inline_fallback,2.65,4,3,12,HIGH,2505.88,-114969.04,False,DEFER
WO-00044,Testing – Instrument/Analyser INST-0119,INST-0119,Inst,Tank-Farm,2020-11-26,2135,Testing,High,False,14805.56,13.7,18.0,10.4,1.7,43.800000000000004,5,1.8,730,2,1,3,2,4800,,3,True,Instrument/Analyser,1.8,730.0,0.8964188530454323,730.0,asset_inline_fallback,2.0,5,2,10,HIGH,1290.84,-13514.72,False,DEFER
WO-00045,Inspection – Control Valve VLV-0018,VLV-0018,Vlv,Utilities,2012-10-24,5090,Inspection,High,False,7802.09,8.9,0.6,3.7,0.5,13.7,2,1.5,1095,3,2,3,2,13500,,3,True,Control Valve,1.5,1095.0,0.6661650042556344,1095.0,asset_inline_fallback,2.65,5,3,15,HIGH,3574.81,-4227.28,False,DEFER
WO-00046,Replacement – Control Valve VLV-0080,VLV-0080,Vlv,Tank-Farm,2021-08-06,1882,Replacement,Low,False,20643.16,36.6,10.0,14.2,2.9,63.699999999999996,8,1.5,1095,3,2,3,2,13500,,1,True,Control Valve,1.5,1095.0,0.4965763982719184,27.37500654673113,asset_inline_fallback,2.65,4,3,12,HIGH,2664.75,-17978.41,False,DEFER
WO-00047,Cleaning – Control Valve VLV-0033,VLV-0033,Vlv,Unit-300,2020-07-07,2277,Cleaning,High,False,22590.42,6.6,1.2,1.7,4.6,14.1,2,1.5,1095,3,2,3,2,13500,,3,True,Control Valve,1.5,1095.0,0.5272463027720936,1095.0,asset_inline_fallback,2.65,4,3,12,HIGH,2829.34,-19761.08,False,DEFER
WO-00048,Replacement – Control Valve VLV-0076,VLV-0076,Vlv,Unit-300,2022-07-01,1553,Replacement,Critical,False,36387.38,31.3,7.9,9.4,6.8,55.4,7,1.5,1095,3,2,3,2,13500,WO-00019,4,True,Control Valve,1.5,1095.0,0.46697112519479306,356.375041611647,asset_inline_fallback,2.65,4,3,12,HIGH,2505.88,-33881.5,False,DEFER
WO-00049,Replacement – Control Valve VLV-0096,VLV-0096,Vlv,Unit-300,2014-07-19,4457,Replacement,Medium,False,84321.48,17.1,6.0,8.0,1.0,32.1,4,1.5,1095,3,2,3,2,13500,,2,True,Control Valve,1.5,1095.0,0.6426825511639829,1095.0,asset_inline_fallback,2.65,5,3,15,HIGH,3448.8,-80872.68,False,DEFER
WO-00050,Inspection – Centrifugal Pump PMP-0052,PMP-0052,Pmp,Unit-300,2016-06-28,3747,Inspection,High,False,2619.75,10.0,1.8,1.9,0.3,14.000000000000002,2,2.5,1825,3,2,4,3,48000,,3,True,Centrifugal Pump,2.5,1825.0,0.7940561074092952,1825.0,asset_inline_fallback,3.0,5,3,15,HIGH,17151.61,14531.86,True,INCLUDE
WO-00051,Repair – Instrument/Analyser INST-0155,INST-0155,Inst,Unit-100,2017-09-16,3302,Repair,Low,False,64606.38,19.6,7.2,9.5,8.8,45.099999999999994,6,1.8,730,2,1,3,2,4800,,1,True,Instrument/Analyser,1.8,730.0,0.9568220024778556,730.0,asset_inline_fallback,2.0,5,2,10,HIGH,1377.82,-63228.56,False,DEFER
WO-00052,Inspection – Pressure Vessel VSL-0022,VSL-0022,Vsl,Offsites,2016-08-27,3687,Inspection,Critical,False,4849.8,3.2,1.4,4.7,0.5,9.8,1,2.8,3650,5,5,5,5,290000,,4,True,Pressure Vessel,2.8,3650.0,0.2674336052742445,1229.4951011980575,asset_inline_fallback,5.0,3,5,15,HIGH,58166.81,53317.01,True,INCLUDE
WO-00053,Cleaning – Piping/Pipeline Segment PPL-0014,PPL-0014,Ppl,Unit-300,2023-12-02,1034,Cleaning,Critical,False,10804.4,23.5,0.7,1.7,4.2,30.099999999999998,4,2.0,3285,4,4,3,3,88000,,4,True,Piping/Pipeline Segment,2.0,3285.0,0.07899816668268554,3950.7481200618886,asset_inline_fallback,3.65,2,4,8,MEDIUM,3806.13,-6998.27,True,INCLUDE
WO-00054,Replacement – Heat Exchanger HX-0033,HX-0033,Hx,Unit-200,2021-04-25,1985,Replacement,Critical,False,9015.32,22.6,13.9,6.8,2.0,45.3,6,2.0,2190,4,3,5,4,195000,,4,True,Heat Exchanger,2.0,2190.0,0.28101060843455783,1338.1654132918188,asset_inline_fallback,4.0,3,4,12,HIGH,32878.24,23862.92,True,INCLUDE
WO-00055,Inspection – Instrument/Analyser INST-0124,INST-0124,Inst,Unit-200,2012-01-26,5362,Inspection,Low,False,7072.3,9.6,0.1,4.0,0.7,14.399999999999999,2,1.8,730,2,1,3,2,4800,,1,True,Instrument/Analyser,1.8,730.0,1.0,730.0,asset_inline_fallback,2.0,5,2,10,HIGH,1440.0,-5632.3,False,DEFER
WO-00056,Replacement – Heat Exchanger HX-0032,HX-0032,Hx,Tank-Farm,2014-06-11,4495,Replacement,Critical,False,37833.53,31.6,17.4,18.6,5.2,72.8,9,2.0,2190,4,3,5,4,195000,,4,True,Heat Exchanger,2.0,2190.0,0.5093127157041278,2190.0,asset_inline_fallback,4.0,4,4,16,HIGH,59589.59,21756.06,True,INCLUDE
WO-00057,Calibration – Instrument/Analyser INST-0048,INST-0048,Inst,Flare-System,2024-09-28,733,Calibration,Medium,False,2592.68,0.8,7.3,10.4,0.5,19.0,2,1.8,730,2,1,3,2,4800,,2,True,Instrument/Analyser,1.8,730.0,0.6595803654110955,427.25583614715265,asset_inline_fallback,2.0,5,2,10,HIGH,949.8,-1642.88,False,DEFER
WO-00058,Calibration – Instrument/Analyser INST-0013,INST-0013,Inst,Utilities,2014-10-13,4371,Calibration,High,False,2937.02,0.9,4.7,10.0,0.1,15.700000000000001,2,1.8,730,2,1,3,2,4800,,3,True,Instrument/Analyser,1.8,730.0,1.0,730.0,asset_inline_fallback,2.0,5,2,10,HIGH,1440.0,-1497.02,False,DEFER
WO-00059,Inspection – Pressure Vessel VSL-0027,VSL-0027,Vsl,Unit-200,2013-01-04,5018,Inspection,High,False,3766.42,3.3,0.7,4.2,0.2,8.399999999999999,1,2.8,3650,5,5,5,5,290000,,3,True,Pressure Vessel,2.8,3650.0,0.41122591027396627,3650.0,asset_inline_fallback,5.0,4,5,20,CRITICAL,89441.64,85675.22,True,INCLUDE
WO-00060,Repair – Instrument/Analyser INST-0115,INST-0115,Inst,Utilities,2016-08-07,3707,Repair,High,False,46220.48,25.8,13.0,12.6,5.6,57.0,7,1.8,730,2,1,3,2,4800,,3,True,Instrument/Analyser,1.8,730.0,0.9676589802665541,730.0,asset_inline_fallback,2.0,5,2,10,HIGH,1393.43,-44827.05,False,DEFER
WO-00061,Overhaul – Electrical Equipment ELEC-0043,ELEC-0043,Elec,Offsites,2013-11-13,4705,Overhaul,Low,False,332694.02,93.5,33.7,10.9,10.7,148.79999999999998,19,2.0,1460,3,1,3,3,24000,,1,True,Electrical Equipment,2.0,1460.0,0.8124671726813737,1460.0,asset_inline_fallback,2.5,5,2,10,HIGH,7312.2,-325381.82,False,DEFER
WO-00062,Replacement – Control Valve VLV-0065,VLV-0065,Vlv,Flare-System,2012-01-18,5370,Replacement,High,False,74595.34,29.3,7.7,22.3,4.1,63.4,8,1.5,1095,3,2,3,2,13500,,3,True,Control Valve,1.5,1095.0,0.6756293764937387,1095.0,asset_inline_fallback,2.65,5,3,15,HIGH,3625.6,-70969.74,False,DEFER
WO-00063,Repair – Electrical Equipment ELEC-0057,ELEC-0057,Elec,Unit-100,2025-05-02,517,Repair,High,False,60183.66,70.7,5.3,4.4,6.7,87.10000000000001,11,2.0,1460,3,1,3,3,24000,WO-00046,3,True,Electrical Equipment,2.0,1460.0,0.213021849929904,1698.4436386734096,asset_inline_fallback,2.5,3,2,6,MEDIUM,1917.2,-58266.46,False,DEFER
WO-00064,Replacement – Reciprocating Compressor CMP-0001,CMP-0001,Cmp,Unit-200,2012-08-27,5148,Replacement,High,False,94600.93,22.9,3.3,4.7,5.0,35.9,4,3.0,1460,5,4,5,5,490000,,3,True,Reciprocating Compressor,3.0,1460.0,1.0,1460.0,asset_inline_fallback,4.75,5,5,25,CRITICAL,349125.0,254524.07,True,INCLUDE
WO-00065,Repair – Control Valve VLV-0050,VLV-0050,Vlv,Utilities,2017-06-25,3385,Repair,Low,False,10642.74,26.1,17.8,8.6,5.3,57.800000000000004,7,1.5,1095,3,2,3,2,13500,,1,True,Control Valve,1.5,1095.0,0.5944036460133602,1095.0,asset_inline_fallback,2.65,4,3,12,HIGH,3189.72,-7453.02,False,DEFER
WO-00066,Cleaning – Control Valve VLV-0061,VLV-0061,Vlv,Unit-100,2014-02-03,4623,Cleaning,Medium,False,10962.89,27.7,0.1,1.9,6.0,35.7,4,1.5,1095,3,2,3,2,13500,,2,True,Control Valve,1.5,1095.0,0.6491457790838416,1095.0,asset_inline_fallback,2.65,5,3,15,HIGH,3483.48,-7479.41,False,DEFER
WO-00067,Testing – Piping/Pipeline Segment PPL-0016,PPL-0016,Ppl,Offsites,2021-01-01,2099,Testing,Critical,False,7856.2,9.9,9.4,17.2,1.1,37.6,5,2.0,3285,4,4,3,3,88000,,4,True,Piping/Pipeline Segment,2.0,3285.0,0.14301760187851728,2885.7481200299753,asset_inline_fallback,3.65,2,4,8,MEDIUM,6890.59,-965.61,False,DEFER
WO-00068,Calibration – Centrifugal Pump PMP-0074,PMP-0074,Pmp,Flare-System,2019-05-17,2694,Calibration,Critical,False,2003.44,0.8,2.0,11.1,0.0,13.899999999999999,2,2.5,1825,3,2,4,3,48000,,4,True,Centrifugal Pump,2.5,1825.0,0.628385677260022,1825.0,asset_inline_fallback,3.0,5,3,15,HIGH,13573.13,11569.69,True,INCLUDE
WO-00069,Overhaul – Control Valve VLV-0114,VLV-0114,Vlv,Tank-Farm,2013-03-08,4955,Overhaul,Low,False,62923.13,95.1,35.5,21.0,24.0,175.6,22,1.5,1095,3,2,3,2,13500,,1,True,Control Valve,1.5,1095.0,0.6614112351283963,1095.0,asset_inline_fallback,2.65,5,3,15,HIGH,3549.3,-59373.83,False,DEFER
WO-00070,Cleaning – Pressure Vessel VSL-0012,VSL-0012,Vsl,Utilities,2014-03-16,4582,Cleaning,High,False,24206.73,24.8,0.6,1.5,3.1,30.000000000000004,4,2.8,3650,5,5,5,5,290000,WO-00029,3,True,Pressure Vessel,2.8,3650.0,0.36396153663875674,334.49509859618774,asset_inline_fallback,5.0,4,5,20,CRITICAL,79161.63,54954.9,False,DEFER
WO-00071,Overhaul – Electrical Equipment ELEC-0026,ELEC-0026,Elec,Utilities,2019-09-19,2569,Overhaul,High,False,24843.17,94.8,48.1,21.3,7.6,171.8,21,2.0,1460,3,1,3,3,24000,,3,True,Electrical Equipment,2.0,1460.0,0.6102674407288287,1460.0,asset_inline_fallback,2.5,5,2,10,HIGH,5492.41,-19350.76,False,DEFER
