asset_tag,asset_class,failure_no,time_to_failure_d,failure_date,failure_mode,severity
PMP-0038,PMP,6,2209.32,2025-05-18,Seal Failure,2
PMP-0039,PMP,1,755.16,2019-11-11,Bearing Failure,4
PMP-0039,PMP,2,864.23,2020-02-28,Bearing Failure,1
PMP-0039,PMP,3,929.14,2020-05-03,Blockage,1
PMP-0039,PMP,4,1375.58,2021-07-23,Blockage,1
PMP-0040,PMP,1,1065.13,2026-10-01,Wear,4
PMP-0040,PMP,2,1123.76,2026-10-01,Bearing Failure,1
PMP-0040,PMP,3,1306.55,2026-10-01,Blockage,2
PMP-0040,PMP,4,2538.5,2026-10-01,Fatigue,2
PMP-0041,PMP,1,315.5,2017-04-06,Fouling,2
PMP-0041,PMP,2,919.81,2018-12-01,Wear,2
PMP-0041,PMP,3,1865.26,2021-07-04,Bearing Failure,4
PMP-0041,PMP,4,3353.95,2025-07-31,Fatigue,2
PMP-0042,PMP,1,504.11,2019-03-23,Leakage,5
PMP-0042,PMP,2,716.42,2019-10-21,Leakage,5
PMP-0042,PMP,3,1216.27,2021-03-04,Fouling,2
PMP-0042,PMP,4,1476.48,2021-11-19,Fatigue,2
PMP-0042,PMP,5,2335.29,2024-03-27,Bearing Failure,4
PMP-0043,PMP,1,413.29,2016-03-06,Fouling,2
PMP-0043,PMP,2,446.07,2016-04-08,Blockage,2
PMP-0043,PMP,3,564.37,2016-08-04,Corrosion,3
PMP-0043,PMP,4,1226.47,2018-05-28,Blockage,5
PMP-0043,PMP,5,1327.44,2018-09-06,Wear,2
PMP-0043,PMP,6,1806.68,2019-12-29,Corrosion,2
PMP-0044,PMP,1,240.97,2018-08-31,Wear,3
PMP-0044,PMP,2,457.07,2019-04-05,Wear,2
PMP-0044,PMP,3,1854.69,2023-01-31,Wear,1
PMP-0044,PMP,4,2844.11,2025-10-17,Fouling,5
PMP-0045,PMP,1,589.02,2019-07-17,Wear,2
PMP-0045,PMP,2,1376.72,2021-09-11,Bearing Failure,4
PMP-0045,PMP,3,1389.11,2021-09-24,Leakage,2
PMP-0045,PMP,4,1390.67,2021-09-25,Corrosion,1
PMP-0045,PMP,5,3034.71,2026-03-27,Corrosion,1
PMP-0046,PMP,1,1001.09,2026-10-01,Leakage,3
PMP-0046,PMP,2,1070.79,2026-10-01,Seal Failure,3
PMP-0046,PMP,3,1394.91,2026-10-01,Leakage,1
PMP-0046,PMP,4,1704.21,2026-10-01,Wear,3
PMP-0046,PMP,5,2178.37,2026-10-01,Fouling,3
PMP-0046,PMP,6,2326.78,2026-10-01,Bearing Failure,3
PMP-0047,PMP,1,783.84,2021-10-14,Leakage,2
PMP-0047,PMP,2,1145.46,2022-10-11,Seal Failure,3
PMP-0047,PMP,3,2055.6,2025-04-08,Leakage,4
PMP-0048,PMP,1,1101.36,2023-01-19,Fatigue,3
PMP-0048,PMP,2,1720.23,2024-09-29,Corrosion,4
PMP-0048,PMP,3,1924.8,2025-04-21,Corrosion,4
PMP-0048,PMP,4,3141.48,2026-10-01,Leakage,5
PMP-0049,PMP,1,2410.68,2020-05-30,Wear,2
PMP-0049,PMP,2,3310.75,2022-11-16,Corrosion,1
PMP-0050,PMP,1,1742.86,2026-10-01,Leakage,1
PMP-0050,PMP,2,2331.04,2026-10-01,Fouling,4
PMP-0051,PMP,1,619.32,2023-07-06,Corrosion,5
PMP-0051,PMP,2,1279.98,2025-04-26,Bearing Failure,1
PMP-0051,PMP,3,1314.72,2025-05-31,Fouling,5
PMP-0051,PMP,4,1660.9,2026-05-12,Fouling,1
PMP-0051,PMP,5,1666.87,2026-05-18,Blockage,5
PMP-0051,PMP,6,2477.95,2026-10-01,Blockage,5
PMP-0052,PMP,1,672.62,2018-05-01,Corrosion,4
PMP-0052,PMP,2,906.44,2018-12-21,Corrosion,3
PMP-0052,PMP,3,920.49,2019-01-04,Bearing Failure,5
PMP-0052,PMP,4,1461.46,2020-06-28,Fatigue,2
PMP-0052,PMP,5,1776.65,2021-05-09,Bearing Failure,1
PMP-0052,PMP,6,2076.25,2022-03-05,Seal Failure,4
PMP-0053,PMP,1,1272.39,2021-06-10,Leakage,2
PMP-0053,PMP,2,1588.41,2022-04-22,Bearing Failure,3
PMP-0053,PMP,3,1722.71,2022-09-03,Wear,3
PMP-0053,PMP,4,2046.57,2023-07-24,Wear,5
PMP-0054,PMP,1,348.24,2017-05-30,Fouling,4
PMP-0054,PMP,2,490.51,2017-10-19,Fatigue,2
PMP-0054,PMP,3,1589.83,2020-10-22,Fouling,2
PMP-0054,PMP,4,2781.22,2024-01-27,Leakage,1
PMP-0054,PMP,5,2822.62,2024-03-08,Leakage,2
PMP-0055,PMP,1,744.43,2022-02-07,Fouling,4
PMP-0055,PMP,2,1547.8,2024-04-20,Fatigue,1
PMP-0055,PMP,3,2467.92,2026-10-01,Seal Failure,1
PMP-0055,PMP,4,2778.6,2026-10-01,Fatigue,3
PMP-0056,PMP,1,1237.54,2026-10-01,Bearing Failure,5
PMP-0056,PMP,2,2101.68,2026-10-01,Wear,2
PMP-0056,PMP,3,2326.03,2026-10-01,Wear,1
PMP-0056,PMP,4,2484.9,2026-10-01,Corrosion,3
PMP-0057,PMP,1,316.56,2026-04-19,Bearing Failure,4
PMP-0057,PMP,2,348.6,2026-05-21,Corrosion,5
PMP-0057,PMP,3,554.67,2026-10-01,Blockage,1
PMP-0057,PMP,4,818.1,2026-10-01,Fouling,5
PMP-0057,PMP,5,1956.95,2026-10-01,Fouling,5
PMP-0057,PMP,6,2075.36,2026-10-01,Blockage,3
PMP-0058,PMP,1,1534.78,2019-11-05,Corrosion,3
PMP-0058,PMP,2,1982.3,2021-01-26,Seal Failure,3
PMP-0059,PMP,1,1012.03,2022-01-22,Bearing Failure,1
PMP-0059,PMP,2,1974.55,2024-09-10,Corrosion,5
PMP-0060,PMP,1,720.75,2020-09-17,Corrosion,1
PMP-0060,PMP,2,1955.47,2024-02-04,Fouling,3
PMP-0061,PMP,1,889.09,2026-01-20,Corrosion,4
PMP-0061,PMP,2,1212.85,2026-10-01,Leakage,1
PMP-0062,PMP,1,486.0,2020-11-03,Fatigue,2
PMP-0062,PMP,2,1351.83,2023-03-18,Wear,3
PMP-0062,PMP,3,1460.08,2023-07-05,Fatigue,2
PMP-0063,PMP,1,956.3,2023-01-14,Seal Failure,3
PMP-0063,PMP,2,1481.02,2024-06-22,Corrosion,5
PMP-0063,PMP,3,1730.54,2025-02-26,Blockage,1
PMP-0064,PMP,1,750.57,2018-12-27,Wear,4
PMP-0064,PMP,2,1224.81,2020-04-14,Wear,1
PMP-0064,PMP,3,1381.16,2020-09-18,Wear,3
PMP-0064,PMP,4,1815.7,2021-11-26,Seal Failure,3
PMP-0064,PMP,5,1845.13,2021-12-26,Wear,1
PMP-0064,PMP,6,1927.88,2022-03-18,Leakage,5
PMP-0065,PMP,1,977.43,2023-05-14,Leakage,4
PMP-0065,PMP,2,1113.82,2023-09-27,Seal Failure,1
PMP-0065,PMP,3,1494.59,2024-10-12,Blockage,3
PMP-0065,PMP,4,1968.5,2026-01-29,Wear,2
PMP-0065,PMP,5,2223.94,2026-10-01,Fouling,1
PMP-0066,PMP,1,399.97,2025-03-11,Blockage,1
PMP-0066,PMP,2,1138.78,2026-10-01,Seal Failure,5
PMP-0066,PMP,3,2772.36,2026-10-01,Leakage,5
PMP-0067,PMP,1,906.49,2014-10-10,Blockage,2
PMP-0067,PMP,2,1714.37,2016-12-26,Fouling,3
PMP-0068,PMP,1,868.46,2018-05-04,Blockage,5
PMP-0068,PMP,2,1201.88,2019-04-02,Fouling,5
PMP-0068,PMP,3,1479.71,2020-01-05,Fouling,4
PMP-0068,PMP,4,1549.21,2020-03-15,Seal Failure,3
PMP-0069,PMP,1,759.06,2024-02-10,Fatigue,2
PMP-0069,PMP,2,1039.48,2024-11-16,Corrosion,5
PMP-0070,PMP,1,1062.56,2017-10-06,Leakage,1
PMP-0070,PMP,2,1956.78,2020-03-18,Seal Failure,3
PMP-0071,PMP,1,1221.32,2019-01-24,Fouling,3
PMP-0071,PMP,2,1715.78,2020-06-01,Fouling,5
PMP-0071,PMP,3,2557.29,2022-09-21,Bearing Failure,2
PMP-0072,PMP,1,522.29,2023-05-16,Blockage,4
PMP-0072,PMP,2,898.35,2024-05-26,Fouling,4
PMP-0072,PMP,3,939.37,2024-07-06,Fatigue,2
PMP-0072,PMP,4,1373.69,2025-09-13,Fouling,5
PMP-0072,PMP,5,1498.88,2026-01-16,Seal Failure,2
PMP-0072,PMP,6,2840.01,2026-10-01,Fouling,2
PMP-0073,PMP,1,1002.67,2026-10-01,Seal Failure,2
PMP-0073,PMP,2,1369.15,2026-10-01,Fatigue,5
PMP-0073,PMP,3,1424.59,2026-10-01,Fatigue,1
PMP-0073,PMP,4,1566.52,2026-10-01,Fouling,3
PMP-0073,PMP,5,2894.28,2026-10-01,Wear,2
PMP-0074,PMP,1,1454.79,2023-05-10,Bearing Failure,5
PMP-0074,PMP,2,1658.21,2023-11-30,Fouling,5
PMP-0075,PMP,1,306.31,2023-10-04,Seal Failure,4
PMP-0075,PMP,2,771.33,2025-01-11,Leakage,3
PMP-0075,PMP,3,1449.41,2026-10-01,Fatigue,3
PMP-0076,PMP,1,846.57,2019-12-19,Blockage,1
PMP-0076,PMP,2,1104.41,2020-09-02,Seal Failure,1
PMP-0076,PMP,3,1209.66,2020-12-16,Bearing Failure,5
PMP-0076,PMP,4,1699.07,2022-04-20,Wear,4
PMP-0076,PMP,5,1934.87,2022-12-11,Blockage,5
PMP-0076,PMP,6,2137.43,2023-07-02,Fouling,1
PMP-0077,PMP,1,1287.39,2026-10-01,Seal Failure,5
PMP-0077,PMP,2,1442.91,2026-10-01,Wear,4
PMP-0077,PMP,3,1484.76,2026-10-01,Wear,5
PMP-0077,PMP,4,1997.51,2026-10-01,Bearing Failure,5
PMP-0077,PMP,5,2251.57,2026-10-01,Seal Failure,1
PMP-0077,PMP,6,2469.05,2026-10-01,Wear,2
PMP-0078,PMP,1,667.25,2016-12-18,Leakage,2
PMP-0078,PMP,2,895.3,2017-08-03,Fouling,2
PMP-0078,PMP,3,1236.64,2018-07-10,Fouling,3
PMP-0078,PMP,4,1400.22,2018-12-21,Wear,3
PMP-0078,PMP,5,3378.73,2024-05-21,Leakage,5
PMP-0079,PMP,1,665.88,2017-07-04,Blockage,5
PMP-0079,PMP,2,732.23,2017-09-09,Fatigue,5
PMP-0079,PMP,3,1279.11,2019-03-10,Seal Failure,1
PMP-0080,PMP,1,1140.88,2020-02-05,Corrosion,3
PMP-0080,PMP,2,1394.97,2020-10-16,Leakage,1
PMP-0080,PMP,3,2127.72,2022-10-19,Fouling,2
HX-0001,HX,1,1273.51,2021-01-24,Blockage,1
HX-0001,HX,2,2201.08,2023-08-10,Blockage,4
HX-0001,HX,3,2450.28,2024-04-15,Leakage,5
HX-0001,HX,4,3191.36,2026-04-26,Corrosion,5
HX-0002,HX,1,1037.68,2026-10-01,Blockage,3
HX-0002,HX,2,1038.53,2026-10-01,Fatigue,1
HX-0002,HX,3,2534.65,2026-10-01,Wear,2
HX-0002,HX,4,2955.32,2026-10-01,Leakage,3
HX-0003,HX,1,1215.74,2023-04-06,Seal Failure,4
HX-0003,HX,2,2369.08,2026-06-03,Blockage,4
HX-0003,HX,3,2966.34,2026-10-01,Seal Failure,5
HX-0003,HX,4,3386.74,2026-10-01,Fouling,5
HX-0004,HX,1,805.81,2021-01-16,Fouling,1
HX-0004,HX,2,1682.64,2023-06-12,Wear,5
HX-0004,HX,3,3123.62,2026-10-01,Leakage,2
HX-0005,HX,1,826.59,2023-05-26,Fatigue,4
HX-0005,HX,2,1049.95,2024-01-04,Fatigue,4
HX-0005,HX,3,1199.4,2024-06-02,Leakage,1
HX-0005,HX,4,1209.84,2024-06-12,Wear,5
HX-0005,HX,5,1558.65,2025-05-27,Seal Failure,3
HX-0005,HX,6,2355.8,2026-10-01,Fouling,3
HX-0006,HX,1,664.52,2026-02-14,Corrosion,4
HX-0006,HX,2,1667.56,2026-10-01,Bearing Failure,1
HX-0006,HX,3,2528.48,2026-10-01,Fouling,4
HX-0006,HX,4,2757.18,2026-10-01,Seal Failure,1
HX-0006,HX,5,5321.02,2026-10-01,Wear,3
HX-0007,HX,1,2096.14,2023-04-09,Seal Failure,5
HX-0007,HX,2,2217.56,2023-08-08,Corrosion,3
HX-0007,HX,3,2442.03,2024-03-20,Corrosion,3
HX-0007,HX,4,2649.31,2024-10-13,Corrosion,3
HX-0008,HX,1,807.67,2015-01-07,Wear,3
HX-0008,HX,2,3754.61,2023-02-01,Blockage,1
HX-0008,HX,3,3790.33,2023-03-09,Fouling,2
HX-0009,HX,1,352.33,2018-08-02,Blockage,2
HX-0009,HX,2,934.03,2020-03-06,Wear,3
HX-0009,HX,3,1742.37,2022-05-23,Bearing Failure,5
HX-0009,HX,4,2051.15,2023-03-28,Leakage,5
HX-0009,HX,5,2158.25,2023-07-13,Bearing Failure,2
HX-0009,HX,6,3671.32,2026-10-01,Fouling,1
HX-0010,HX,1,2176.74,2023-06-11,Wear,2
HX-0010,HX,2,2313.25,2023-10-26,Seal Failure,2
HX-0010,HX,3,2435.16,2024-02-25,Blockage,3
HX-0010,HX,4,3831.09,2026-10-01,Blockage,4
HX-0011,HX,1,629.15,2026-10-01,Bearing Failure,3
HX-0011,HX,2,3230.18,2026-10-01,Fatigue,3
HX-0012,HX,1,515.25,2020-05-31,Wear,2
HX-0012,HX,2,1206.13,2022-04-22,Blockage,4
HX-0012,HX,3,1494.38,2023-02-04,Leakage,5
HX-0012,HX,4,1849.51,2024-01-25,Wear,2
HX-0012,HX,5,1896.36,2024-03-12,Wear,1
HX-0012,HX,6,2118.13,2024-10-20,Leakage,5
HX-0013,HX,1,1037.48,2017-08-22,Seal Failure,1
HX-0013,HX,2,3394.07,2024-02-04,Blockage,5
HX-0014,HX,1,963.98,2021-07-31,Fouling,4
HX-0014,HX,2,1091.34,2021-12-06,Fouling,5
HX-0014,HX,3,2173.88,2024-11-22,Wear,1
HX-0014,HX,4,2824.09,2026-09-04,Blockage,2
HX-0015,HX,1,1609.6,2023-04-17,Corrosion,3
HX-0015,HX,2,2039.62,2024-06-20,Fatigue,1
HX-0015,HX,3,2930.79,2026-10-01,Blockage,1
HX-0016,HX,1,800.96,2019-12-11,Leakage,1
HX-0016,HX,2,2104.01,2023-07-07,Bearing Failure,3
HX-0017,HX,1,559.64,2020-08-28,Blockage,4
HX-0017,HX,2,1200.68,2022-05-31,Leakage,2
HX-0017,HX,3,1508.25,2023-04-04,Blockage,4
HX-0017,HX,4,2737.86,2026-08-15,Corrosion,5
HX-0017,HX,5,3091.41,2026-10-01,Leakage,2
HX-0017,HX,6,4174.73,2026-10-01,Seal Failure,2
HX-0018,HX,1,920.78,2023-08-19,Blockage,2
HX-0018,HX,2,1667.66,2025-09-04,Blockage,3
HX-0018,HX,3,2612.45,2026-10-01,Bearing Failure,4
HX-0018,HX,4,2806.63,2026-10-01,Fouling,3
HX-0019,HX,1,867.33,2020-11-03,Fouling,2
HX-0019,HX,2,2254.75,2024-08-21,Fatigue,1
HX-0019,HX,3,3208.78,2026-10-01,Fouling,1
HX-0019,HX,4,3215.98,2026-10-01,Wear,4
HX-0020,HX,1,1167.08,2026-10-01,Leakage,4
HX-0020,HX,2,2396.33,2026-10-01,Fouling,1
HX-0021,HX,1,1731.28,2018-12-06,Seal Failure,1
HX-0021,HX,2,1774.11,2019-01-18,Wear,2
HX-0021,HX,3,1825.86,2019-03-10,Corrosion,5
HX-0021,HX,4,2044.36,2019-10-15,Corrosion,2
HX-0021,HX,5,2633.16,2021-05-26,Blockage,5
HX-0021,HX,6,2961.3,2022-04-19,Corrosion,2
HX-0022,HX,1,733.14,2025-10-18,Blockage,5
HX-0022,HX,2,1202.06,2026-10-01,Blockage,1
HX-0022,HX,3,1823.0,2026-10-01,Corrosion,3
HX-0022,HX,4,3107.8,2026-10-01,Wear,2
HX-0023,HX,1,2975.46,2026-02-22,Wear,1
HX-0023,HX,2,3298.67,2026-10-01,Corrosion,1
HX-0024,HX,1,2112.52,2022-02-16,Blockage,2
HX-0024,HX,2,2830.81,2024-02-04,Seal Failure,4
HX-0024,HX,3,3314.8,2025-06-02,Bearing Failure,4
HX-0024,HX,4,3872.15,2026-10-01,Corrosion,3
HX-0025,HX,1,1269.36,2025-04-16,Seal Failure,4
HX-0025,HX,2,1381.64,2025-08-06,Leakage,4
HX-0025,HX,3,1431.17,2025-09-25,Blockage,1
HX-0025,HX,4,2442.5,2026-10-01,Fatigue,1
HX-0025,HX,5,2599.18,2026-10-01,Wear,3
HX-0025,HX,6,3851.92,2026-10-01,Corrosion,3
HX-0026,HX,1,2029.62,2021-02-19,Blockage,5
HX-0026,HX,2,2781.45,2023-03-13,Fouling,2
HX-0026,HX,3,2827.21,2023-04-28,Leakage,1
HX-0026,HX,4,2948.81,2023-08-27,Seal Failure,3
HX-0027,HX,1,653.84,2016-10-14,Fatigue,1
HX-0027,HX,2,2425.22,2021-08-21,Bearing Failure,1
HX-0028,HX,1,2081.21,2018-08-20,Fouling,5
HX-0028,HX,2,2110.47,2018-09-18,Corrosion,4
HX-0028,HX,3,2664.47,2020-03-25,Bearing Failure,5
HX-0028,HX,4,2737.98,2020-06-06,Corrosion,4
HX-0028,HX,5,2747.9,2020-06-16,Blockage,4
HX-0029,HX,1,602.44,2024-03-06,Wear,3
HX-0029,HX,2,2851.33,2026-10-01,Fouling,3
HX-0030,HX,1,1215.3,2021-04-25,Seal Failure,5
HX-0030,HX,2,2063.78,2023-08-21,Fouling,2
HX-0030,HX,3,2707.82,2025-05-26,Blockage,1
HX-0030,HX,4,3453.95,2026-10-01,Fouling,3
HX-0031,HX,1,709.79,2022-07-03,Fouling,5
